id,name,landmgr,defined,Orgtype,Orgtype2,AgencyID,Acres,FireOcc,FirePtDensity,FireProbMean,EcoCentralityMean,EcoCentralitySD,EcoregionL3Majority,EcoregL3_PercSierraNevada,NLCDMajority,NLCD_PercForest,NLCD_PercShrub,CentroidLat,CentroidLon,joint_activities,good_information,fire_spreading,operational_capacity,relevant_partnership_current_conditions
11,11,1,1,Federal Agency,Federal Agency - Land Manager,USFS,1869191.427,5,0.002674953,0.182543563,0.104288692,0.032389221,Sierra Nevada,0.549731197,Shrub/Scrub,0.23638343,0.63170787,37.2830009,-118.4850006,3.45,3.5,2.66,2.78,3.64
12,12,1,1,Federal Agency,Federal Agency - Land Manager,USFS,167275.2475,0,0,0.039859292,0.037662586,0.022692426,Sierra Nevada,0.537529451,Shrub/Scrub,0.11565543,0.39307116,37.6236992,-118.9830017,3.33,3.27,2.5,2.94,3.67
13,13,1,1,Federal Agency,Federal Agency - Land Manager,USFS,849963.7175,1,0.001176521,0.241450514,0.128018702,0.023565508,Central Basin and Range,0,Shrub/Scrub,0.41816462,0.55287783,37.4754982,-118.3880005,3.4,3.4,2.4,2.82,3.6
14,14,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.4,3.33,2.36,2.94,3.7
15,15,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.42,3.33,2.4,2.82,3.75
16,16,1,1,Federal Agency,Federal Agency - Land Manager,USFS,1114766.622,27,0.024220316,0.338125508,0.072902366,0.020533722,Sierra Nevada,0.957607033,Evergreen Forest,0.69663937,0.23525138,36.0248985,-118.4980011,3.22,3.22,2.44,2.83,3.78
17,17,1,1,Federal Agency,Federal Agency - Land Manager,USFS,663351.3285,12,0.018089962,0.304158378,0.076024891,0.026704729,Sierra Nevada,0.856960089,Shrub/Scrub,0.28975601,0.58029958,35.7988014,-118.3659973,3,3.43,3.14,2.81,3.71
18,18,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.2,3.44,2.67,2.67,3.44
19,19,1,1,Federal Agency,Federal Agency - Land Manager,BLM,752069.9286,4,0.005318654,0.043012664,0.109610809,0.044421512,Central Basin and Range,0.024503842,Shrub/Scrub,0.05271125,0.77419312,37.5937996,-118.5930023,2.88,3.38,2.88,2.76,3.88
20,20,0,1,State Agency,State Agency,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.2,3.5,2.7,2.815,3.07
21,21,0,1,State Agency,State Agency,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.14,3.14,2.5,2.76,3
22,22,0,1,NGO,NGO,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.36,3.45,2.4,2.67,2.36
23,23,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.14,3.17,2.36,2.81,2.43
24,24,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.18,3.45,2.295,2.94,3.73
25,25,1,1,Tribal,Tribal,BIA,273.2766,0,0,0,0.020890829,0.004468418,Central Basin and Range,0,"Developed, Open Space",0,0.19788274,37.1590004,-118.2850037,3.56,3.33,2.5,2.76,3.33
26,26,1,1,Tribal,Tribal,BIA,54003.85081,0,0,0.389107108,0.068419512,0.010608896,Central California Foothills and Coastal Mountains,0.4828733,Evergreen Forest,0.575507875,0.23922255,36.0318985,-118.7139969,3.67,3.33,2.5,2.76,3.17
